name,rating
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
TCS,3.8
Accenture,4
Cognizant,3.9
Wipro,3.8
ICICI Bank,4
HDFC Bank,3.9
Infosys,3.9
Capgemini,3.8
Tech Mahindra,3.7
HCLTech,3.7
Genpact,3.9
Axis Bank,3.8
Concentrix Corporation,3.9
Amazon,4.1
Teleperformance,3.6
Reliance Jio,3.9
IBM,4.1
Larsen & Toubro Limited,4
Reliance Retail,3.9
HDB Financial Services,4
