,name,rating,year
0,1. Game of Thrones,9.2 (2.2M),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2011–2019</span>"
1,2. Breaking Bad,9.5 (2.1M),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2008–2013</span>"
2,3. Stranger Things,8.7 (1.3M),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2016–2025</span>"
3,4. Friends,8.9 (1.1M),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">1994–2004</span>"
4,5. The Walking Dead,8.1 (1.1M),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2010–2022</span>"
5,6. Sherlock,9.1 (975K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2010–2017</span>"
6,7. The Big Bang Theory,8.2 (848K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2007–2019</span>"
7,8. Dexter,8.7 (752K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2006–2013</span>"
8,9. How I Met Your Mother,8.3 (716K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2005–2014</span>"
9,10. The Office,9.0 (679K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2005–2013</span>"
10,11. Black Mirror,8.7 (620K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2011– </span>"
11,12. Peaky Blinders,8.8 (618K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013–2022</span>"
12,13. Better Call Saul,9.0 (617K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2015–2022</span>"
13,14. True Detective,8.9 (616K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2014– </span>"
14,15. The Boys,8.7 (606K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2019– </span>"
15,16. Lost,8.3 (582K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2004–2010</span>"
16,17. Rick and Morty,9.1 (579K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013– </span>"
17,18. The Mandalorian,8.7 (567K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2019– </span>"
18,19. Prison Break,8.3 (567K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2005–2017</span>"
19,20. Vikings,8.5 (567K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013–2020</span>"
20,21. The Witcher,8.0 (557K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2019– </span>"
21,22. Westworld,8.5 (524K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2016–2022</span>"
22,23. House of Cards,8.7 (524K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013–2018</span>"
23,24. La Casa De Papel,8.2 (514K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2017–2021</span>"
24,25. Squid Game,8.0 (510K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2021– </span>"
25,26. House M.D.,8.7 (495K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2004–2012</span>"
26,27. Attack on Titan,9.1 (473K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013–2023</span>"
27,28. Supernatural,8.4 (472K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2005–2020</span>"
28,29. The Last of Us,8.8 (470K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2023– </span>"
29,30. Modern Family,8.5 (467K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2009–2020</span>"
30,31. Daredevil,8.6 (465K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2015–2018</span>"
31,32. Suits,8.4 (459K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2011–2019</span>"
32,33. Narcos,8.8 (457K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2015–2017</span>"
33,34. The Sopranos,9.2 (448K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">1999–2007</span>"
34,35. Arrow,7.5 (443K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2012–2020</span>"
35,36. The Simpsons,8.7 (428K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">1989– </span>"
36,37. Dark,8.7 (427K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2017–2020</span>"
37,38. Mr. Robot,8.5 (409K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2015–2019</span>"
38,39. South Park,8.7 (398K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">1997– </span>"
39,40. Fargo,8.9 (394K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2014–2024</span>"
40,41. Loki,8.2 (391K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2021–2023</span>"
41,42. The Wire,9.3 (366K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2002–2008</span>"
42,43. The Flash,7.5 (365K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2014–2023</span>"
43,44. Death Note: Desu nôto,8.9 (363K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2006–2007</span>"
44,45. Family Guy,8.2 (358K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">1999– </span>"
45,46. Homeland,8.3 (356K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2011–2020</span>"
46,47. Avatar: The Last Airbender,9.3 (348K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2005–2008</span>"
47,48. House of the Dragon,8.5 (348K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2022– </span>"
48,49. Brooklyn Nine-Nine,8.4 (347K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2013–2021</span>"
49,50. Lucifer,8.1 (347K),"<span class=""sc-479faa3c-8 bNrEFi dli-title-metadata-item"">2016–2021</span>"
